Country Code,"AWS ",AZURE,GCP,OCI
AD,,,,
AE,,"uaecentral,uaenorth",,"me-abudhabi-1,me-dubai-1"
AF,,,,
AG,,,,
AI,,,,
AL,,,,
AM,,,,
AO,,,,
AQ,,,,
AR,,,,
AS,,,,
AT,,,,
AU,,"australiacentral,australiacentral2,australiaeast,australiasoutheast","australia-southeast2,australia-southeast1","ap-melbourne-1,ap-sydney-1"
AW,,,,
AX,,,,
AZ,,,,
BA,,,,
BB,,,,
BD,,,,
BE,,,europe-west1,
BF,,,,
BG,,,,
BH,,,,
BI,,,,
BJ,,,,
BL,,,,
BM,,,,
BN,,,,
BO,,,,
BQ,,,,
BR,,"brazilsouth,brazilsoutheast,brazilus",southamerica-east1,"sa-saopaulo-1,sa-vinhedo-1"
BS,,,,
BT,,,,
BV,,,,
BW,,,,
BY,,,,
BZ,,,,
CA,,"canadacentral,canadaeast","northamerica-northeast1,northamerica-northeast2","ca-montreal-1,ca-toronto-1"
CC,,,,
CD,,,,
CF,,,,
CG,,,,
CH,,"switzerlandnorth,switzerlandwest",europe-west6,eu-zurich-1
CI,,,,
CK,,,,
CL,,chilecentral,southamerica-west1,"sa-santiago-1,sa-valparaiso-1"
CM,,,,
CN,,,,
CO,,,,sa-bogota-1
CR,,,,
CU,,,,
CV,,,,
CW,,,,
CX,,,,
CY,,,,
CZ,,,,
DE,,"germanynorth,germanywestcentral","europe-west10,europe-west3",eu-frankfurt-1
DJ,,,,
DK,,,,
DM,,,,
DO,,,,
DZ,,,,
EC,,,,
EE,,,,
EG,,,,
EH,,,,
ER,,,,
ES,,spaincentral,europe-southwest1,eu-madrid-1
ET,,,,
FI,,,europe-north1,
FJ,,,,
FK,,,,
FM,,,,
FO,,,,
FR,,"francecentral,francesouth",europe-west9,"eu-marseille-1,eu-paris-1"
GA,,,,
GB,,"uksouth,ukwest",europe-west2,"uk-cardiff-1,uk-london-1"
GD,,,,
GE,,,,
GF,,,,
GG,,,,
GH,,,,
GI,,,,
GL,,,,
GM,,,,
GN,,,,
GP,,,,
GQ,,,,
GR,,,,
GS,,,,
GT,,,,
GU,,,,
GW,,,,
GY,,,,
HK,,eastasia,asia-east2,
HM,,,,
HN,,,,
HR,,,,
HT,,,,
HU,,,,
ID,,indonesiacentral,asia-southeast2,ap-batam-1
IE,,northeurope,,
IL,,israelcentral,me-west1,il-jerusalem-1
IM,,,,
IN,,"centralindia,jioindiacentral,jioindiawest,southindia,westindia","asia-south2,asia-south1","ap-hyderabad-1,ap-mumbai-1"
IO,,,,
IQ,,,,
IR,,,,
IS,,,,
IT,,italynorth,"europe-west12,europe-west8",eu-milan-1
JE,,,,
JM,,,,
JO,,,,
JP,,"japaneast,japanwest","asia-northeast2,asia-northeast1","ap-osaka-1,ap-tokyo-1"
KE,,,,
KG,,,,
KH,,,,
KI,,,,
KM,,,,
KN,,,,
KP,,,,
KR,,"koreacentral,koreasouth",asia-northeast3,"ap-chuncheon-1,ap-seoul-1"
KW,,,,
KY,,,,
KZ,,,,
LA,,,,
LB,,,,
LC,,,,
LI,,,,
LK,,,,
LR,,,,
LS,,,,
LT,,,,
LU,,,,
LV,,,,
LY,,,,
MA,,,,
MC,,,,
MD,,,,
ME,,,,
MF,,,,
MG,,,,
MH,,,,
MK,,,,
ML,,,,
MM,,,,
MN,,,,
MO,,,,
MP,,,,
MQ,,,,
MR,,,,
MS,,,,
MT,,,,
MU,,,,
MV,,,,
MW,,,,
MX,,mexicocentral,northamerica-south1,"mx-monterrey-1,mx-queretaro-1"
MY,,malaysiawest,,
MZ,,,,
NA,,,,
NC,,,,
NE,,,,
NF,,,,
NG,,,,
NI,,,,
NL,,westeurope,europe-west4,eu-amsterdam-1
NO,,"norwayeast,norwaywest",,
NP,,,,
NR,,,,
NU,,,,
NZ,,newzealandnorth,,
OM,,,,
PA,,,,
PE,,,,
PF,,,,
PG,,,,
PH,,,,
PK,,,,
PL,,polandcentral,europe-central2,
PM,,,,
PN,,,,
PR,,,,
PS,,,,
PT,,,,
PW,,,,
PY,,,,
QA,,qatarcentral,me-central1,
RE,,,,
RO,,,,
RS,,,,
RU,,,,
RW,,,,
SA,,,me-central2,"me-jeddah-1,me-riyadh-1"
SB,,,,
SC,,,,
SD,,,,
SE,,swedencentral,europe-north2,eu-stockholm-1
SG,,southeastasia,asia-southeast1,"ap-singapore-1,ap-singapore-2"
SH,,,,
SI,,,,
SJ,,,,
SK,,,,
SL,,,,
SM,,,,
SN,,,,
SO,,,,
SR,,,,
SS,,,,
ST,,,,
SV,,,,
SX,,,,
SY,,,,
SZ,,,,
TC,,,,
TD,,,,
TF,,,,
TG,,,,
TH,,,,
TJ,,,,
TK,,,,
TL,,,,
TM,,,,
TN,,,,
TO,,,,
TR,,,,
TT,,,,
TV,,,,
TW,ap-east-2,,asia-east1,
TZ,,,,
UA,,,,
UG,,,,
UM,,,,
US,,"centralus,centraluseuap,eastus,eastus2,eastus2euap,eastusstg,northcentralus,southcentralus,southcentralusstg,westcentralus,westus,westus2,westus3","us-central1,us-west1,us-south1,us-west2,us-east4,us-east5,us-east1,us-west3,us-west4","us-ashburn-1,us-chicago-1,us-phoenix-1,us-sanjose-1"
UY,,,,
UZ,,,,
VA,,,,
VC,,,,
VE,,,,
VG,,,,
VI,,,,
VN,,,,
VU,,,,
WF,,,,
WS,,,,
YE,,,,
YT,,,,
ZA,,"southafricanorth,southafricawest",africa-south1,af-johannesburg-1
ZM,,,,
ZW,,,,
